Date,Open,High,Low,Close,Adj Close,Volume
2020-12-18,370.970001,371.149994,367.019989,369.179993,360.153717,136542300
2020-12-21,364.970001,378.459991,362.029999,367.859985,358.865997,96386700
2020-12-22,368.209991,368.329987,366.029999,367.239990,358.261078,47949000
2020-12-23,368.279999,369.619995,367.220001,367.570007,358.583038,46201400
2020-12-24,368.079987,369.029999,367.450012,369.000000,359.978149,26457900
2020-12-28,371.739990,372.589996,371.070007,372.170013,363.070648,39000400
2020-12-29,373.809998,374.000000,370.829987,371.459991,362.377960,53680500
2020-12-30,372.339996,373.100006,371.570007,371.989990,362.895020,49455300
2020-12-31,371.779999,374.660004,371.230011,373.880005,364.738831,78520700
2021-01-04,375.309998,375.450012,364.820007,368.790009,359.773254,110210800
2021-01-05,368.100006,372.500000,368.049988,371.329987,362.251160,66426200
2021-01-06,369.709991,376.980011,369.119995,373.549988,364.416901,107997700
2021-01-07,376.100006,379.899994,375.910004,379.100006,369.831177,68766800
2021-01-08,380.589996,381.489990,377.100006,381.260010,371.938416,71677200
2021-01-11,377.850006,380.579987,377.720001,378.690002,369.431244,51034700
2021-01-12,378.890015,379.859985,376.359985,378.769989,369.509186,52547700
2021-01-13,378.690002,380.859985,377.850006,379.790009,370.504333,45303600
2021-01-14,380.589996,381.130005,378.100006,378.459991,369.206818,49989100
2021-01-15,376.720001,377.579987,373.700012,375.700012,366.514343,107160000
2021-01-19,378.339996,379.230011,376.750000,378.649994,369.392181,51233300
2021-01-20,381.109985,384.790009,380.690002,383.890015,374.504059,61836100
2021-01-21,384.489990,384.950012,383.250000,384.239990,374.845520,47840100
2021-01-22,382.250000,384.130005,381.839996,382.880005,373.518799,52860500
2021-01-25,383.670013,384.769989,378.459991,384.390015,374.991882,70402000
2021-01-26,385.410004,385.850006,383.540009,383.790009,374.406555,42665300
2021-01-27,380.220001,380.320007,372.010010,374.410004,365.255859,123351100
2021-01-28,376.359985,381.929993,375.890015,377.630005,368.397156,94198100
2021-01-29,375.630005,376.670013,368.269989,370.070007,361.022034,126765100
2021-02-01,373.720001,377.339996,370.380005,376.230011,367.031372,75817600
2021-02-02,379.649994,383.220001,376.320007,381.549988,372.221283,64450700
2021-02-03,382.440002,383.700012,380.480011,381.850006,372.514008,52427100
2021-02-04,382.959991,386.239990,381.970001,386.190002,376.747833,47142600
2021-02-05,388.200012,388.470001,386.140015,387.709991,378.230682,48669800
